,flow_metric,swe_metric,sum
fff,0.2450687472971736,0.014530600576201091,0.2595993478733747
e_ice,0.06715115420292483,0.08877636424430513,0.15592751844722996
a_exp,0.02661179689574006,0.07568050609139138,0.10229230298713143
liq_canopy_storage_scalar,0.09249465153364755,0.00726936354036567,0.09976401507401322
frac_sat_soil_dsl_init,0.05820369506228279,0.040141184280495124,0.09834487934277791
a_coef,0.035448267442458326,0.04412585876351549,0.07957412620597382
zsno,0.01577050089107651,0.060240161413316284,0.0760106623043928
z0mr,0.028355616031797037,0.044772546502477195,0.07312816253427423
upplim_destruct_metamorph,0.007865896998445199,0.06499040804154754,0.07285630503999274
medlynintercept,0.04822801950338057,0.012445217594168279,0.06067323709754885
om_frac_sf,0.044219724305226416,0.01626415407353332,0.06048387837875974
krmax,0.054708281539738834,0.0038166801564690767,0.05852496169620791
cv,0.047233803049862244,0.011136738656640277,0.05837054170650252
n_melt_coef,0.02610370927917971,0.02744686859851342,0.05355057787769313
accum_factor,0.020367761886979918,0.029816389808471788,0.050184151695451706
ssi,0.007569485802025544,0.041638122667382316,0.04920760846940786
baseflow_scalar,0.03567054170166001,0.009963712747311004,0.04563425444897101
kmax,0.03460154611339561,0.008954306196354678,0.04355585230975029
jmaxb0,0.026895300914912434,0.016074311561286803,0.04296961247619924
medlynslope,0.027567444019238163,0.0124209190821149,0.039988363101353064
snw_rds_refrz,0.011489102454515177,0.026384029751878313,0.03787313220639349
leafcn,0.03179665617480143,0.00582279371173644,0.03761944988653787
slopebeta,0.011101731071514132,0.02537288469055904,0.03647461576207317
tpu25ratio,0.02467991103752515,0.010860639296699948,0.035540550334225096
maximum_leaf_wetted_fraction,0.027623637885744345,0.005014867120091582,0.03263850500583593
C2_liq_Brun89,0.007942188394613803,0.02378355231199497,0.031725740706608774
xdrdt,0.021696801224389106,0.008055568514780176,0.029752369739169282
vcmaxha,0.017933681263271883,0.010962633861015147,0.02889631512428703
jmaxb1,0.018599657735352437,0.009781056399951304,0.028380714135303742
clay_pf,0.008167574900485974,0.018389575883224984,0.02655715078371096
wind_min,0.015483046331646266,0.008644395124939919,0.024127441456586185
d_max,0.012374858100733466,0.011645082384719285,0.02401994048545275
theta_cj,0.018083168363411006,0.003956706558588041,0.022039874921999048
dleaf,0.0018821388285887308,0.017741629514848922,0.019623768343437653
sand_pf,0.014205762627330809,0.004587033031178134,0.018792795658508943
nstem,0.012975930026086768,0.00482927377287401,0.017805203798960778
slatop,0.006191918529828977,0.011086701764136508,0.017278620293965485
scvng_fct_mlt_sf,0.003964736751617015,0.012646783812738649,0.016611520564355664
wc2wjb0,0.00682776144122188,0.009776681119742281,0.01660444256096416
tkd_sand,0.0018505982685294575,0.007870749613891836,0.009721347882421294
